"RecordType","Survey","Quarter","Country","Ship","Gear","SweepLngt","GearEx","DoorType","StNo","HaulNo","Year","Month","Day","TimeShot","DepthStratum","HaulDur","DayNight","ShootLat","ShootLong","HaulLat","HaulLong","StatRec","Depth","HaulVal","HydroStNo","StdSpecRecCode","BySpecRecCode","DataType","Netopening","Rigging","Tickler","Distance","Warplngt","Warpdia","WarpDen","DoorSurface","DoorWgt","DoorSpread","WingSpread","Buoyancy","KiteDim","WgtGroundRope","TowDir","GroundSpeed","SpeedWater","SurCurDir","SurCurSpeed","BotCurDir","BotCurSpeed","WindDir","WindSpeed","SwellDir","SwellHeight","SurTemp","BotTemp","SurSal","BotSal","ThermoCline","ThClineDepth","CodendMesh","SecchiDepth","Turbidity","TidePhase","TideSpeed","PelSampType","MinTrawlDepth","MaxTrawlDepth","DateofCalculation"
"HH","NS-IBTS",3,"GB-SCT","748S","GOV",60,"B","P",390,75,2012,8,8,1640,NA,30,"D",59.678,0.6878,59.6987,0.6408,"48F0",125,"V","74SC0331",1,1,"C",3.9,NA,NA,3517,360,28,NA,4.5,1100,85,20,186,0.7,NA,310,3.8,3.8,140,0.1,NA,-9,315,11,315,0.6,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170110
"HH","NS-IBTS",3,"GB-SCT","748S","GOV",60,"B","P",391,76,2012,8,8,1954,NA,30,"D",59.6757,-0.2258,59.6943,-0.2723,"48E9",130,"V","74SC0332",1,1,"C",3.7,NA,NA,3354,400,28,NA,4.5,1100,88,22,186,0.7,NA,310,3.6,3.6,338,0.1,NA,-9,315,10,315,0.5,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170110
"HH","NS-IBTS",3,"GB-SCT","748S","GOV",60,"B","P",392,77,2012,8,9,534,NA,30,"D",59.036,-0.8108,59.0567,-0.8567,"47E9",130,"V","74SC0333",1,1,"C",3.7,NA,NA,3503,400,28,NA,4.5,1100,88,21,186,0.7,NA,330,3.8,3.8,194,0.1,NA,-9,293,12,315,0.8,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170110
"HH","NS-IBTS",3,"GB-SCT","748S","GOV",60,"B","P",393,78,2012,8,9,838,NA,30,"D",58.7515,-0.7807,58.7298,-0.7398,"46E9",125,"V","74SC0334",1,1,"C",3.9,NA,NA,3400,390,28,NA,4.5,1100,86,20,186,0.7,NA,135,3.6,3.6,181,0.1,NA,-9,270,5,315,0.3,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170110
"HH","NS-IBTS",3,"GB-SCT","748S","GOV",60,"B","P",394,79,2012,8,9,1224,NA,30,"D",58.432,-0.4118,58.4637,-0.4143,"45E9",132,"V","74SC0335",1,1,"C",3.8,NA,NA,3508,380,28,NA,4.5,1100,86,20,186,0.7,NA,356,3.8,3.8,280,0.1,NA,-9,270,5,315,0.3,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170110
"HH","NS-IBTS",3,"GB-SCT","748S","GOV",60,"B","P",395,80,2012,8,9,1619,NA,25,"D",58.0827,0.2295,58.0785,0.2788,"45F0",144,"V","74SC0336",1,1,"C",3.7,NA,NA,2959,415,28,NA,4.5,1100,85,21,186,0.7,NA,95,3.8,3.8,30,0.1,NA,-9,270,5,315,0.2,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170110
"HH","NS-IBTS",3,"GB-SCT","748S","GOV",60,"B","P",396,81,2012,8,9,1840,NA,28,"D",57.8523,0.3177,57.8288,0.3465,"44F0",135,"V","74SC0337",1,1,"C",3.7,NA,NA,3123,400,28,NA,4.5,1100,88,20,186,0.7,NA,145,3.6,3.6,350,0.1,NA,-9,315,4,270,0.2,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170110
"HH","NS-IBTS",3,"GB-SCT","748S","GOV",60,"B","P",397,82,2012,8,10,532,NA,30,"D",58.5022,0.2628,58.4983,0.2038,"46F0",140,"V","74SC0338",1,1,"C",3.6,NA,NA,3479,420,28,NA,4.5,1100,87,21,186,0.7,NA,265,3.8,3.8,220,0.1,NA,-9,315,5,315,0.4,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170110
"HH","NS-IBTS",3,"GB-SCT","748S","GOV",60,"B","P",398,83,2012,8,10,942,NA,30,"D",58.6553,1.1473,58.6863,1.1507,"46F1",126,"V","74SC0339",1,1,"C",4.1,NA,NA,3446,370,28,NA,4.5,1100,86,20,186,0.7,NA,5,3.8,3.8,90,0.1,NA,-9,270,3,315,0.2,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170110
"HH","NS-IBTS",3,"GB-SCT","748S","GOV",60,"B","P",399,84,2012,8,10,1446,NA,30,"D",58.7338,2.5855,58.7608,2.6148,"46F2",110,"V","74SC0340",1,1,"C",4.1,NA,NA,3435,350,28,NA,4.5,1100,83,19,186,0.7,NA,4,3.7,3.7,210,0.1,NA,-9,270,3,315,0.2,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170110
